canonical_tag,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9,synonym10,synonym11,synonym12,synonym13,synonym14,synonym15,synonym16,synonym17,synonym18,synonym19,synonym20,synonym21,synonym22,synonym23,synonym24,synonym25,synonym26,synonym27,synonym28,synonym29,synonym30,synonym31,synonym32,synonym33,synonym34,synonym35,synonym36,synonym37,synonym38,synonym39,synonym40,synonym41,synonym42,synonym43,synonym44,synonym45,synonym46,synonym47,synonym48,synonym49,synonym50,synonym51,synonym52,synonym53,synonym54,synonym55,synonym56,synonym57,synonym58,synonym59,synonym60,synonym61,synonym62,synonym63,synonym64,synonym65,synonym66,synonym67,synonym68,synonym69,synonym70,synonym71,synonym72,synonym73,synonym74,synonym75,synonym76,synonym77,synonym78,synonym79,synonym80,synonym81,synonym82,synonym83,synonym84,synonym85,synonym86,synonym87,synonym88,synonym89,synonym90,synonym91,synonym92,synonym93,synonym94,synonym95,synonym96,synonym97,synonym98,synonym99,synonym100,synonym101,synonym102,synonym103,synonym104,synonym105,synonym106,synonym107,synonym108,synonym109,synonym110,synonym111,synonym112,synonym113,synonym114,synonym115,synonym116,synonym117,synonym118,synonym119,synonym120,synonym121,synonym122,synonym123,synonym124,synonym125,synonym126,synonym127,synonym128,synonym129,synonym130,synonym131,synonym132,synonym133,synonym134,synonym135,synonym136,synonym137,synonym138,synonym139,synonym140,synonym141,synonym142,synonym143,synonym144,synonym145,synonym146,synonym147,synonym148,synonym149,synonym150,synonym151,synonym152,synonym153,synonym154,synonym155,synonym156,synonym157,synonym158,synonym159,synonym160,synonym161,synonym162,synonym163,synonym164,synonym165,synonym166,synonym167,synonym168,synonym169,synonym170,synonym171,synonym172,synonym173,synonym174,synonym175,synonym176,synonym177,synonym178,synonym179,synonym180,synonym181,synonym182,synonym183,synonym184,synonym185,synonym186,synonym187,synonym188,synonym189,synonym190,synonym191,synonym192,synonym193,synonym194,synonym195,synonym196,synonym197,synonym198,synonym199,synonym200,synonym201,synonym202,synonym203,synonym204,synonym205,synonym206,synonym207,synonym208,synonym209,synonym210,synonym211,synonym212,synonym213,synonym214,synonym215,synonym216,synonym217,synonym218,synonym219,synonym220,synonym221,synonym222,synonym223,synonym224,synonym225,synonym226,synonym227,synonym228,synonym229,synonym230,synonym231,synonym232,synonym233,synonym234,synonym235,synonym236,synonym237,synonym238,synonym239,synonym240,synonym241,synonym242,synonym243,synonym244,synonym245,synonym246,synonym247,synonym248,synonym249,synonym250,synonym251,synonym252,synonym253,synonym254,synonym255,synonym256,synonym257,synonym258,synonym259,synonym260,synonym261,synonym262,synonym263,synonym264,synonym265,synonym266,synonym267,synonym268,synonym269,synonym270,synonym271,synonym272,synonym273,synonym274,synonym275,synonym276,synonym277,synonym278,synonym279,synonym280,synonym281,synonym282,synonym283,synonym284,synonym285,synonym286,synonym287,synonym288,synonym289,synonym290,synonym291,synonym292,synonym293,synonym294,synonym295,synonym296,synonym297,synonym298,synonym299,synonym300,synonym301
Armando Dippet,Armando Dippet (mention),Armando dippit,Dippet,Head Master Armando Dippet,Headmaster Armando Dippet,Headmaster Dippet - Character,Prof Dippet,Portrait Armando Dippet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Weasley,(Mentioned Arthur Weasley),Arther Weasley,Arthur Wealsey,Arthur Weasely,Arthur Weasley (mentioned),Arthur Weasley (minor),Arthur Weasley (sort of),Arthur Weasley mentioned,Arthur Weasley(brief),Arthur weasly,Artur Weasley,Aruthur Weasley,Athur Weasley,Aurthor Weasley,Aurthur Weasley,Author Weasley,Bad Arthur - Character,ghost arthur weasley,Mentioned Arthur Weasley - Character,Minor Arthur Weasley,Mr Weasley,Mr. Weasely,Mr. Weasley,Portrait Auther Weasley,Will/Arthur Weasly,Артур Уизли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria Greengrass,Alpha Astoria “ma Louve[my Wolf]” Greengrass,Asteria Greengrass,Asteria Greengrass Malfoy,Asteria Malfoy,Astoria Greegrass,Astoria Green,Astoria Greenglass,Astoria Greengras,Astoria Greengrass (background/past),Astoria Greengrass (brief mentions),Astoria Greengrass (deceased),Astoria Greengrass (Mention only),Astoria Greengrass (mention),Astoria Greengrass (mentioned only),Astoria Greengrass (mentioned),Astoria Greengrass (menzionata),Astoria Greengrass (offscreen appearance),Astoria Greengrass (Referenced),Astoria Greengrass Malfoy,Astoria Greengrass Malfoy (mentioned),Astoria Greengrass-Malfoy,Astoria Greengrass/Malfoy,Astoria Malfoy,Astoria Malfoy (mentioned),Astoria Malfoy nee Greengrass,Astoria Malfoy/Greengrass,Astory Greengrass,mentioned Astoria Greengrass,Mentions Astoria Greengrass,Mentions of Astoria Greengrass - Character,more like ace-storia amirite,Portrait Astoria Greengrass,Though technically she's Astoria Malfoy,Астория Гринграсс - Character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustus Rookwood,Alpha Augustus Rockwood,Rockwood (Death Eater),Rookwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audrey Weasley,Audrey mentioned,Audrey Michels,Audrey Russell,Audrey Weasley (mentioned),Audrey Weasley - mentioned,muggle!audrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta Longbottom,Augusta Gemma Langdon nee Black,Augusta Longbottom (Kind),Augusta Longbottom (mentioned),Augusta “Gran” Longbottom,BAMF Augusta Longbottom - Character,Dowager Longbottom,Mrs Longbottom,Neville's gran,Young Augusta Fawley (Longbottom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Sr.,Avery ( Riddle Era ),Avery (metnioned),Avery Sr,Avery Sr.,Avery Sr. OC,Fabian Avery,Jerod Avery,Тимоти Эйвери,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora Sinistra,Madam Sinestra,Professor Aurora Sinistra,Professor Sinister,Professor Sinistra,Proffesor Sinistra,Sanara Sinistra,Sinistra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Jr.,Adrien Avery,Avary jr,Avery (Harry Potter),Avery Jr.,Bruno Avery,Owen Avery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basilisk (Harry Potter),a Basilisk,Alissa the Basilisk,basilisks - Character,Betsy the Basilisk,Betty the Basilisk,Paul the Basilisk,Rowena the Basilisk,The Basilisk (Harry Potter),The Basilisk - who does NOT die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartemius Crouch Jr.,"Alastor ""Mad-Eye"" Moody (Impersonator)",Alpha Bartemius Crouch Jr.,"Bartemius ""Barty"" Crouch Jr.",Bartemius Crouch,Bartemius Crouch Jr,Bartemius Crouch jr (mentioned),Bartemius Crouch Jr | Corwin Crouch,Bartemius Crouch Jr. (mentioned),Bartemius Crouch Junior,Bartemius Croupton Jr,Bartemkus Crouch Jr,Bartimus Crouch Jr,Bartimus Crouch Jr.,Barty Crouch Jnr,Barty Crouch Jr,Barty Crouch Jr as Alastor Moody,Barty Crouch Jr.,Barty Crouch Junior,Barty Crouch Junior (as Alastor Moody),Barty Crouch Junior/Mad Eye Moody,Barty-as-Moody,Braty Church Jr,it aint actually moody,柯羅奇二世,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartemius Crouch Sr.,Alpha Bartemius Crouch Sr.,Bartemius Crouch Sr. (mentioned),Bartemius Crouch Sr. (Mentions),Barty Crouch,Barty crouch sr,Barty Crouch Sr.,Барти Крауч-старший,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathilda Bagshot,Bathilda (once again not a big role),Bathilda Bagshot (mention),Bathilda Bagshot (mentioned),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellatrix Black Lestrange,Alpha Bellatrix Black,Alpha Bellatrix “Bella/Warrior” Druella Black,Alpha Meissa “Adder/Petite Oiseau[Little Bird]/Shining One/Mei/Raven King” Astra Bellatrix Black,Beatrix Lestrange,Belatrix Black,Belatrix Lestrange,Bella Black,Bella Lestrange,Bellatriks Black Lestrange,Bellatrix,Bellatrix - mentioned,Bellatrix Black,Bellatrix Black (mentioned) - Character,Bellatrix Black (x2),Bellatrix Black - Mentioned,Bellatrix Black Lestrang,Bellatrix Black Lestrange (mentioned only),Bellatrix Black Lestrange (Mentioned),Bellatrix Black Lestrange(mentioned),Bellatrix Black Lestrange/Black Window,Bellatrix Black Lestrenge,Bellatrix Black x2,Bellatrix Black-Lestrange,Bellatrix Black/Lestrange,Bellatrix Lestrage (mentioned),Bellatrix Lestrange,Bellatrix Lestrange (Black),Bellatrix Lestrange (mention),Bellatrix Lestrange (Mentioned),Bellatrix Lestrange (mentionned),Bellatrix Lestrange (Shadow Lich),Bellatrix Lestrange née Black,Bellatrix Lestrange-Nee Black,Bellatrix Lestrenge,Belletrix Lestrange,ch 34 Bellatrix,Helena Bonham Carter Bellatrix Black Lestrange,implied Bellatrix,Mention of Bellatrix Lestrange,mentioned Bellatrix,mentioned Bellatrix Lestrange,mentions of Bellatrix Lestrange,portrait Bellatrix,Portrait Bellatrix Black Lestrange,Sane! Bellatrix,Vietnamese Bellatrix Black,Young Bellatrix Black Lestrange - Character,Беллатрикс Блэк,Беллатрикс Лестрейндж,Беллатрикс Лестрейндж (Беллатриса Блэк),Беллатрикс Лестрэндж,Беллатриса Блэк,Беллатриса Лестрейндж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjy Fenwick,Benji Fenwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Weasley,a very asleep Bill Weasley,Bill (William) Weasley,Bill No Name Weasley,Bill shows up and makes everyone emotional,Bill W.,Bill Weasely,Bill Weasley (I think he has a line),Bill Weasley (mentioned),Bill Weasley(mentioned),Bill Weasly,Billie Weasley,Billius Weasley,Billy Weasley,Child Bill Weasley,little Bill Weasley,Mentioned Bill Weasley,Mentions of Bill Weasley,One Appearance Bill Weasley,Portrait Bill Weasley,"William ""Bill"" Weasley",William 'Bill' Arthur Weasley,William 'Bill' Weasley,William (Bill) Weasley,William Arthur “Bill” Weasley,William Bill Weasley,William Weasley,William “Bill” Weasley,Young Bill Weasley,Билл Уизли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Family (Harry Potter),... more House Black related characters that don't really impact the story,All the Blacks,Assorted Black Family Assholes,Bellatrix & Andromeda & Narcissa Black,Black Family (mentioned),Black Family - Character,Black Family Ancestor,Black Family Members,Black family(mentioned),Black sisters - Character,Blacks - Character,but like Siri’s entire family is Mentioned so...,Famiglia Black,implied other members of Black family,Literally any of the Blacks you could remember from their confusing ass family tree,mentions of the Black Family,POC Black family,Random Black family members,Some distant member in the black family tree,tbh the whole black fam is there,The Ancient and Most Noble House of Black,The Black brothers - Character,The Black family (Harry Potter) - Character,The Black Family - Character,The Black Sisters - Character,The Blacks,The Family Black,The House of Black - Character,The Most Noble and Ancient House of Black - Character,The Nobel and Most Ancient House of Black,The Noble and Most Ancient House of Black - Character,The whole Black family tree,various Black family members,Vietnamese Black Family,семейство Блэк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise Zabini,Baise Zabini,Balise Zabini,Blais,Blaise Zabbini,Blaise Zabini (brief appearance),Blaise Zabini (Mention),Blaise Zabini (mentioned),Blaise Zabini mention - Character,Blaise Zabini(mentioned),Blaise Zabinni,Blaise Zabiny,Blaise Zabnini,Blaise Zambini,Blaise Zambini (mentioned),Blaise Zibini,Blaiss Zabini,Blaize Zabini,Blaize Zambini,Blase Zabini,Blasie Zabini,Blaze Zabini,Blaze Zambini,Briefly mentioned Blaise Zanbini,fem!Blaise Zabini - Character,female Blaise Zabini - Character,Ghost Blaise Zabini,Incubus Blaise Zabini,mentioned Blaise Zabini,mentions of Blaise Zabini,Minor (like really small mention) Blaise Zabini,Omega Blaise Zabini - Character,Zabini Blaise,Блейз Забини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckbeak,Buckbeack,Buckbeak,Buckbeak (mentioned),Buckbeak (mentionned),Buckbeak the Hippogriff,minor mention of Buckbeak because maybe Sirius is a better seer than he thinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caradoc Dearborn,Caradoc Weasley,Cardoc Dearborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassiopeia Black,Cassiopée,Portrait Cassiopeia Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Diggory,(Mentioned) Cedric Diggory,18-year-old Cedric Diggory,38-year-old Cedric Doggory,Alpha Cedric Diggory,brief mention of Cedric,Cedric (minor),Cedric Delacour,Cedric Diggery,Cedric Diggor,Cedric Diggory (background),Cedric Diggory (Briefly),Cedric Diggory (Harry Potter),Cedric Diggory (mentioned),Cedric Diggory (minor),Cedric Diggory (sort of),Cedric Diggory - mentioned,Cedric Diggory(mentioned),Cedric Diggory-Ghost,Cedric Diggroy,Cedric Digorry,Cedric Digory,Cedric Doggory,Dark!Cedric Diggory,except Cedric diggory,Ghost Cedric Diggory,Mentioned Cedric Diggory,Portrait Cedric Diggory - Character,Portrait!Cedric Diggory,spirit cedric diggory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charity Burbage,Portrait Charity Burbage,the late Charity Burbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassius Warrington,C. Warrington,Cade Warrington,Clint Warrington,Warrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cho Chang,brief Cho Chang,Cho Chang (Mentioned only),Cho Chang (mentioned),Cho Change,cho chong,Healer Cho Chang,Mention of Cho Chang,mentioned Cho Chang,Omega Cho Chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Weasley,Autistic Charlie Weasley,barely there Charlie Weasley,Charie Weasley,Charile Weasley,"Charles ""Charlie"" Weasley",Charles Weasley,Charley Weasley,Charlie Wealsey,Charlie Weaseley,Charlie Weasely,Charlie Weasely (mentioned),Charlie Weasey,Charlie Weasley (mentioned),Charlie Weasley - mentioned,Charlie Weasley mentioned,Charlie Weasley(mentioned),Charlie Weasleyrlie Weasley,Charlie Weaslie,Charlie Wesley,Charlie/Charles Weasley,Charlies Weasley,Child Charlie Weasley,kind of Charlie Weasley,mention of Charlie Weasley,mentioned Charlie Weasley,mentions of Charlie Weasley,Transman Charlie Weasley,Чарли Уизли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
